11,The Weeknd,18,2,719,2015
12,Shaggy feat. Mohombi, Faydee, Costi,9,8,460,2015
13,Kygo feat. Ella Henderson,6,11,286,2015
14,Naughty Boy featuring Beyoncé and Arrow Benjamin,3,14,275,2015
15,Felix Jaehn feat. Jasmine Thompson,23,1,872,2015
16,Axwell & Ingrosso,12,6,452,2015
17,Adam Lambert,22,6,647,2015
18,Nicky Jam & Enrique Iglesias,20,1,693,2015
19,Dyna & Firstman & Lil Kleine & Bollebof,3,19,116,2015
20,Avicii,6,17,159,2015
21,Anouk,5,16,145,2015
22,Madcon & Ray Dalton,21,3,583,2015
23,Alvaro Soler,14,12,320,2015
24,Sam Feldt,13,19,230,2015
25,Kensington,2,19,168,2015
26,Shawn Mendes,1,4,367,2015
27,Omi,3,24,103,2015
28,Major Lazer x DJ Snake feat. Mø,32,1,1076,2015
29,One Direction,11,15,217,2015
30,James Morrison,4,29,41,2015
31,Dotan,5,31,43,2015
32,Years & Years,8,22,168,2015
33,First Aid Kit,2,33,32,2015
34,Drake,1,9,274,2015
35,Adam Lambert,2,35,11,2015
36,Sam Smith,3,35,18,2015
37,P!nk,1,37,9,2015
38,Avicii,21,6,519,2015
39,Silentó,12,17,160,2015
40,Disclosure ft. Sam Smith,11,27,75,2015
1,Justin Bieber,7,1,639,2015
2,Calvin Harris + Disciples,12,1,716,2015
3,Sigala,6,2,548,2015
4,Zara Larsson,7,3,560,2015
5,Lost Frequencies feat. Janieck Devy,14,3,730,2015
6,R.City feat. Adam Levine,13,4,568,2015
7,Mr Polska & Ronnie Flex,2,3,390,2015
8,The Weeknd,17,2,719,2015
9,Ellie Goulding,3,8,366,2015
10,Sam Hunt,6,9,441,2015
11,Shaggy feat. Mohombi, Faydee, Costi,8,8,460,2015
12,Kygo feat. Ella Henderson,5,11,286,2015
13,Felix Jaehn feat. Jasmine Thompson,22,1,872,2015
14,Robin Schulz (feat. Francesco Yates),3,4,419,2015
15,Axwell & Ingrosso,11,6,452,2015
16,Nicky Jam & Enrique Iglesias,19,1,693,2015
17,Naughty Boy featuring Beyoncé and Arrow Benjamin,2,14,275,2015
18,Adam Lambert,21,6,647,2015
19,Anouk,4,16,145,2015
20,Avicii,5,17,159,2015
21,Madcon & Ray Dalton,20,3,583,2015
22,Alvaro Soler,13,12,320,2015
23,Sam Feldt,12,19,230,2015
24,One Direction,10,15,217,2015
25,Dyna & Firstman & Lil Kleine & Bollebof,2,19,116,2015
26,Avicii,20,6,519,2015
27,Major Lazer x DJ Snake feat. Mø,31,1,1076,2015
28,Omi,2,24,103,2015
29,James Morrison,3,29,41,2015
30,Disclosure ft. Sam Smith,10,27,75,2015
31,Kensington,1,19,168,2015
32,Silentó,11,17,160,2015
33,Years & Years,7,22,168,2015
34,First Aid Kit,1,33,32,2015
35,Sam Smith,2,35,18,2015
36,Adam Lambert,1,35,11,2015
37,Dotan,4,31,43,2015
38,Jack Ü with Justin Bieber,26,11,549,2015
39,James Bay,22,18,406,2015
40,Nico & Vinz feat. Kid Ink & Bebe Rexha,11,29,77,2015
1,Justin Bieber,6,1,639,2015
2,Calvin Harris + Disciples,11,1,716,2015
3,Sigala,5,2,548,2015
4,Lost Frequencies feat. Janieck Devy,13,3,730,2015
5,R.City feat. Adam Levine,12,4,568,2015
6,Zara Larsson,6,3,560,2015
7,The Weeknd,16,2,719,2015
8,Shaggy feat. Mohombi, Faydee, Costi,7,8,460,2015
9,Felix Jaehn feat. Jasmine Thompson,21,1,872,2015
10,Axwell & Ingrosso,10,6,452,2015
11,Kygo feat. Ella Henderson,4,11,286,2015
12,Ellie Goulding,2,8,366,2015
13,Nicky Jam & Enrique Iglesias,18,1,693,2015
